Lambda11(-),Lambda22(-),Lambda33(-),I1,I41,I42,Energy,Sigma11(KPa),Sigma22(KPa)
1.110204081632653,1.0122448979591836,0.8898393026565466,3.0490068208704897,1.2325531028738026,1.024639733444398,0.088924825,4.555558,1.4404874
1.116326530612245,1.0122448979591836,0.8849590139765289,3.0539771128114794,1.2461849229487716,1.024639733444398,0.12071329,4.804821,1.4547281
1.1224489795918366,1.0122448979591836,0.8801319648093843,3.059163720710381,1.2598917117867554,1.024639733444398,0.15391052,5.059679,1.4662833
1.1285714285714286,1.0122448979591836,0.875357288689261,3.064563585693567,1.2736734693877552,1.024639733444398,0.18849713,5.3203115,1.4752445
1.1346938775510205,1.0122448979591836,0.8706341378510095,3.0701737311877384,1.2875301957517702,1.024639733444398,0.22445303,5.5868998,1.4817023
1.1408163265306124,1.0122448979591836,0.8659616827283745,3.0759912602769566,1.3014618908788007,1.024639733444398,0.26175976,5.8596206,1.485744
1.146938775510204,1.0122448979591836,0.8613391114682586,3.0820133531581737,1.3154685547688463,1.024639733444398,0.30039817,6.138645,1.4874506
1.153061224489796,1.0122448979591836,0.8567656294604624,3.088237264691088,1.3295501874219078,1.024639733444398,0.34035152,6.4241486,1.4869027
1.1591836734693879,1.0122448979591836,0.8522404588823262,3.0946603220383406,1.3437067888379846,1.024639733444398,0.38160115,6.716298,1.4841771
1.1653061224489796,1.0122448979591836,0.8477628382577256,3.1012799223922687,1.3579383590170762,1.024639733444398,0.42832345,7.1225643,1.5784488
1.1714285714285715,1.0122448979591836,0.8433320220298977,3.108093530784618,1.372244897959184,1.024639733444398,0.47699147,7.561616,1.6897593
1.1775510204081634,1.0122448979591836,0.8389472801475932,3.115098677975749,1.386626405664307,1.024639733444398,0.5271122,8.022352,1.8071465
1.183673469387755,1.0122448979591836,0.8346078976640713,3.1222929584200836,1.4010828821324448,1.024639733444398,0.5899716,8.368559,1.9575624
1.189795918367347,1.0122448979591836,0.8303131743484757,3.1296740283046387,1.4156143273635986,1.024639733444398,0.6567338,8.706645,2.1212902
1.195918367346939,1.0122448979591836,0.8260624243091489,3.137239603657674,1.4302207413577679,1.024639733444398,0.72541934,9.060774,2.2939072
1.2020408163265306,1.0122448979591836,0.8218549756284572,3.1449874585246023,1.444902124114952,1.024639733444398,0.7960047,9.431518,2.4755259
1.2081632653061225,1.0122448979591836,0.8176901700087185,3.152915423208437,1.459658475635152,1.024639733444398,0.86846596,9.819429,2.6662593
1.2142857142857144,1.0122448979591836,0.8135673624288424,3.161021382572189,1.4744897959183676,1.024639733444398,0.94278055,10.225053,2.8662014
1.220408163265306,1.0122448979591836,0.8094859208113065,3.1693032744007246,1.489396084964598,1.024639733444398,1.0189264,10.648928,3.075451
1.226530612244898,1.0122448979591836,0.8054452256991037,3.177759087819722,1.5043773427738443,1.024639733444398,1.0968814,11.091577,3.2940865
1.23265306122449,1.0122448979591836,0.80144466994232,3.186386861769458,1.519433569346106,1.024639733444398,1.176625,11.553515,3.5221872
1.2387755102040816,1.0122448979591836,0.7974836583940056,3.195184683531268,1.5345647646813827,1.024639733444398,1.258136,12.035242,3.759822
