Lambda11(-),Lambda22(-),Lambda33(-),Energy,Sigma11(KPa),Sigma22(KPa)
1.126872,1.094399,0.8108671836596757,0.8788107340860729,6.523571742306479,5.786580253848041
1.128394,1.095319,0.8090933105971442,0.8928622334633891,6.6147673859774585,5.860730154534002
1.129435,1.095702,0.8080650135147225,0.9013619080854502,6.673461747167813,5.902233831420584
1.130486,1.096118,0.807007371970511,0.9101571609655734,6.733643107391241,5.945589959287811
1.131974,1.097106,0.8052207503576677,0.9247275472060941,6.8265545538428825,6.023306649287967
1.13495,1.097729,0.8026535543179681,0.9475220869801952,6.991463441903553,6.127154589708846
1.136592,1.098406,0.8009999860994846,0.9620202896168534,7.089915116762503,6.198858014434222
1.1377,1.098908,0.7998543423010361,0.9721406720169078,7.157859664822928,6.249583495446565
1.139429,1.101043,0.7970920014872874,0.9951871403616572,7.289850363222968,6.384757837434343
1.142185,1.102048,0.7944435380380366,1.0199068529925928,7.459802566537762,6.505328796453082
1.143768,1.10311,0.7925802325835583,1.0369547748572816,7.5683674525220015,6.596058104331287
1.145967,1.103455,0.7908120195195104,1.0548348445330964,7.699969351083418,6.676673351937092
1.146682,1.104031,0.7899065893101928,1.0632505374083707,7.752278220362643,6.722806915255878
1.148669,1.104851,0.7879549466781648,1.0825795319071267,7.88416908169501,6.819372913929685
1.150659,1.105622,0.786043696758771,1.101956896555529,8.017689054783546,6.915760885681171
1.152704,1.106027,0.7843618656178788,1.1199865693093827,8.14960367271513,6.999921688024474
1.15461,1.10721,0.7822303925122887,1.1416544058560918,8.291578636613025,7.115341165904984
1.156041,1.109104,0.779927962838213,1.1639993570981098,8.42140149739119,7.248286183242626
1.157468,1.10936,0.7787866609936076,1.177006252812875,8.518038781083398,7.30973179149349
1.15826,1.110254,0.777627472213154,1.188723511185634,8.588592383391074,7.378179992909559
1.159994,1.110782,0.7760959616897942,1.206144220420918,8.713881357884002,7.465002891844441
1.160592,1.111217,0.775392418845815,1.2137221455148268,8.763257843304592,7.506926514833781
1.162618,1.111638,0.7737480602254168,1.2333022544489063,8.909204743182901,7.602280421161442
1.164655,1.112133,0.7720509769535102,1.2537372768570858,9.060809755830512,7.703782177687406
1.167167,1.113125,0.769702794280004,1.281757335356777,9.261644441622227,7.850579971554338
1.167919,1.11461,0.7681823795705138,1.2976954942710228,9.351723221099256,7.95261390183258
1.17018,1.115486,0.7660960177789449,1.3235661957118199,9.539771754104585,8.09008559535783
1.17266,1.116477,0.7637972805801981,1.3526992151647184,9.75296205804278,8.247044905074215
1.174048,1.118223,0.7617031054594198,1.3770607713052196,9.90663933175186,8.397521988123515
1.17659,1.118801,0.7596647962917658,1.4051296787749372,10.125596789572727,8.545593623104972
1.178114,1.119202,0.7584102702786987,1.422606718762435,10.261820655195889,8.639701094218301
1.179645,1.119657,0.7571181704012908,1.4407428857942084,10.402927046683667,8.73903455468884
1.181137,1.12061,0.7555187241624766,1.4621295409967252,10.558087829179616,8.865336788329236
1.182482,1.120676,0.7546149242577949,1.4761931130087325,10.677488003245418,8.938484979758417
1.184923,1.121475,0.7525238588650333,1.5068646876089762,10.92035610113369,9.112566117286372
1.186385,1.12315,0.7504756255131363,1.5340253334395344,11.107634023506993,9.287515806266308
1.188779,1.125295,0.7475366435422832,1.575142683622397,11.405922874538721,9.549330835415034
1.191145,1.126635,0.7451644525257077,1.6110473638636225,11.686774832783218,9.772414588931149
1.192237,1.127704,0.7437762105439079,1.6312663817720723,11.836066394676152,9.905811265754089
1.193095,1.127788,0.7431859746145374,1.6416391529509617,11.928537266988446,9.966103158266776
1.194097,1.128711,0.7419551184867745,1.6600979759882906,12.068011621977819,10.088754066151475
1.195959,1.129603,0.7402149828840464,1.6886102027369696,12.303423912228372,10.270559269985128
1.197735,1.130608,0.7384603898916041,1.7175067858226867,12.541140461512992,10.459605266231467
1.200405,1.131044,0.736533837961373,1.7534134056457396,12.869288810596338,10.683516514775029
1.203648,1.13158,0.7342014510615572,1.7983380503729118,13.287754998218322,10.969988422729205
1.205682,1.132205,0.7325582341283398,1.829626686765851,13.574857312859763,11.178563662741439
1.207329,1.132991,0.7310513904640863,1.8577785025901186,13.827989574992007,11.373528156528053
1.208274,1.13408,0.7297781869256025,1.8795301838620424,14.006987437272745,11.53525627049233
1.210534,1.13498,0.7278381228732607,1.9179789564543248,14.366878717924367,11.806220510231993
1.213041,1.135556,0.7259654689530806,1.958065019564808,14.762866756964446,12.087823151618007
1.215216,1.136527,0.7240470084201416,1.9979294595340251,15.1471915809656,12.381456757870037
1.21719,1.137003,0.7225701453507402,2.031315308654557,15.48802582047118,12.625615883204311
1.21903,1.138045,0.7208189098414046,2.068616443334131,15.852776315653918,12.913230731500638
1.220027,1.138546,0.7199129339210957,2.0885925508902603,16.052751196347817,13.068382573672114
1.222375,1.139307,0.7180501464811843,2.1326340526259133,16.51443069123661,13.409255251667918
1.22521,1.139318,0.7163817414516185,2.1786623162905174,17.041501610397585,13.75801357797446
1.226473,1.140146,0.7151243073290926,2.2077326845729255,17.34208372119597,13.99858774336558
1.227516,1.140142,0.7145191848216464,2.2252838529791283,17.548553534582602,14.135392047493319
1.229058,1.141351,0.7128668153379356,2.2638592156923014,17.950093119391806,14.464546352158354
1.231456,1.141954,0.7111029672317486,2.3123395560276916,18.50692387406422,14.867914906788654
1.233769,1.143263,0.708957167780493,2.3682286551030205,19.131255828203713,15.356582120937407
1.235421,1.143507,0.707858079053059,2.401825823528699,19.54007532635535,15.644801815108465
1.236611,1.14432,0.7066744770726913,2.433427219709227,19.899341790810627,15.931992957515703
1.2408,1.145302,0.703684842072647,2.5277667136771518,21.072020275138957,16.78079349713145
1.242713,1.14608,0.7021246569261229,2.57653338692017,21.678852023365195,17.23819979942421
1.244663,1.146195,0.7009543106717474,2.6196068549158005,22.25505706460955,17.636404257651556
1.246623,1.146815,0.6994738774180577,2.670203858471458,22.915308031522194,18.12345803335899
1.249794,1.147277,0.697418201298216,2.7484568630802038,23.98690787450157,18.882375911265935
1.251649,1.14761,0.6961825275108274,2.7967508398726237,24.658866745190156,19.362054703009164
1.255184,1.148463,0.6937062339726257,2.8955432285606655,26.05382115287583,20.371516827238143
1.255964,1.149605,0.692586727616481,2.9310417876472576,26.511975321517788,20.76426908664847
1.257367,1.150552,0.6912445024711653,2.9809898219587794,27.20543025867436,21.306994569688285
1.260374,1.151191,0.6892125527763266,3.0722371418185674,28.567500943576682,22.289534037919363
1.261931,1.152238,0.6877366945832184,3.1318834642571716,29.432809877047177,22.96401019008222
