Lambda11(-),Lambda22(-),Sigma11(KPa),Sigma22(KPa),Energy_exp,Lambda33(-),I1,I41,I42
1.083818,1.06471,4.372000000000001,2.05,264.17044404999996,0.8665872747853514,3.0592423460439018,1.174661457124,1.174661457124
1.085394,1.065182,4.487,2.0210000000000004,271.19333974999995,0.8649455419670263,3.0608236189286333,1.178080135236,1.178080135236
1.087257,1.065784,4.564,1.9929999999999999,278.27968820999996,0.8629757488253884,3.06275046176574,1.1821277840489999,1.1821277840489999
1.0881,1.067397,4.640999999999999,1.9950000000000003,285.45901732499993,0.8610040847947794,3.0646259996422955,1.18396161,1.18396161
1.089799,1.068587,4.688,1.966,292.66883707899996,0.8587044401082324,3.066913352431593,1.1876618604009999,1.1876618604009999
1.091479,1.06922,4.725999999999999,1.9989999999999999,299.96453761299995,0.8568751377335847,3.0687928175069503,1.1913264074410002,1.1913264074410002
1.092748,1.070589,4.8020000000000005,2.0429999999999997,307.39912683599994,0.8547856110251015,3.070917439240556,1.194098191504,1.194098191504
1.094171,1.07134,4.879,2.0460000000000003,314.92954878499995,0.8530755204329202,3.072717416402898,1.197210177241,1.197210177241
1.096342,1.07188,4.888,2.079,322.51690700099994,0.8509573239975314,3.075020882629039,1.2019657809639999,1.2019657809639999
1.097198,1.072889,5.004999999999999,2.1539999999999995,330.31938589699996,0.8494937736895929,3.076573929062385,1.2038434512039997,1.2038434512039997
1.099223,1.074311,5.120999999999999,2.229,338.34314609899997,0.8468064757434294,3.0795165358110075,1.2082912037290001,1.2082912037290001
1.100946,1.075679,5.197,2.2319999999999998,346.46567798899997,0.8444059637633452,3.0821888375961044,1.212082094916,1.212082094916
1.101122,1.076024,5.303999999999999,2.234,354.709866693,0.8440003022405325,3.08263381764211,1.2124696588839998,1.2124696588839998
1.102639,1.077142,5.382999999999999,2.237,363.05493908399995,0.8419643252513263,3.084951577480921,1.215812764321,1.215812764321
1.104173,1.077644,5.5,2.177,371.47392157199994,0.8404029370154387,3.086791701209176,1.2191980139290002,1.2191980139290002
1.106037,1.079142,5.717,2.1789999999999994,380.14858551899994,0.8378219783688049,3.089810968970818,1.223317845369,1.223317845369
1.107678,1.079491,5.795999999999999,2.254,389.00185992099995,0.8363102969899973,3.0916662836164974,1.2269505516839998,1.2269505516839998
1.1095679999999999,1.0817539999999999,5.905,2.319,398.06244648699993,0.8331391964375,3.0954537837805227,1.2311411466239996,1.2311411466239996
1.11167,1.082942,5.984,2.352,407.2617593509999,0.8306516208565374,3.098555679495593,1.2358101889,1.2358101889
1.114101,1.084672,6.092999999999999,2.3549999999999995,416.6043793039999,0.8275171566698529,3.102519030367958,1.241221038201,1.241221038201
1.115349,1.086322,6.281999999999999,2.326,426.1377866939999,0.8253357226274486,3.1052779345299726,1.2440033918009998,1.2440033918009998
1.116363,1.087828,6.470999999999999,2.255,435.81482380699987,0.8234444994323477,3.1076969489983894,1.246266347769,1.246266347769
1.117712,1.0888499999999999,6.579999999999999,2.3,445.67372376699984,0.8216787034084124,3.1100303290789295,1.249280114944,1.249280114944
1.119486,1.089274,6.6899999999999995,2.2709999999999995,455.63682636099986,0.8200572937993924,3.112260716385583,1.253248904196,1.253248904196
1.120538,1.090157,6.77,2.1679999999999997,465.58632899699984,0.8186237931533041,3.114192608809704,1.2556054094440001,1.2556054094440001
1.1224939999999999,1.090635,6.919999999999999,2.0660000000000003,475.6072393869998,0.8168391430575352,3.1167036688919687,1.2599927800359998,1.2599927800359998
1.124989,1.0917379999999999,7.068999999999999,2.11,485.86335380799983,0.8142041225384632,3.1204204639236286,1.265600250121,1.265600250121
1.125767,1.093328,7.15,2.187,496.3036961939998,0.8124581800614246,3.1228057482217224,1.2673513382889998,1.2673513382889998
1.126872,1.094399,7.261,2.2630000000000003,506.96253872299985,0.8108671836596757,3.125055265121174,1.2698405043840002,1.2698405043840002
1.128394,1.095319,7.372,2.2649999999999997,517.7619568259998,0.8090933105971442,3.1276287162500465,1.2732730192359998,1.2732730192359998
1.129435,1.095702,7.414000000000001,2.299,528.6546068139999,0.8080650135147225,3.1291553580955487,1.275623419225,1.275623419225
1.1304859999999999,1.096118,7.495,2.333,539.6848426779999,0.807007371970511,3.13073416453475,1.2779985961959996,1.2779985961959996
1.131974,1.097106,7.547,2.378,550.8367685239999,0.8052207503576677,3.1333871687185653,1.2813651366760002,1.2813651366760002
1.13495,1.097729,7.658999999999999,2.412,562.1770729219999,0.8026535543179681,3.137373188200267,1.2881115024999998,1.2881115024999998
1.136592,1.098406,7.741,2.4139999999999997,573.6269836779999,0.8009999860994846,3.1399380930313745,1.291841374464,1.291841374464
1.1377,1.098908,7.783,2.49,585.2179836979999,0.7998543423010361,3.1417270513618227,1.2943612899999999,1.2943612899999999
1.139429,1.101043,7.825,2.5669999999999997,596.9603930039999,0.7970920014872874,3.1459497927250095,1.298298446041,1.298298446041
1.142185,1.102048,7.908,2.633,608.8944843679999,0.7944435380380366,3.1502369036593927,1.304586574225,1.304586574225
1.143768,1.10311,7.96,2.6350000000000002,620.9055724979999,0.7925802325835583,3.1532403350062066,1.3082052378239997,1.3082052378239997
